Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.3459762499999953,1000,,,,0,0.025390625,-1.0330078125,-0.0012960658982505515,0.021690627883226666,25.110435259322923,0.06444639054140801,0,0,1.6182776598117072,0,0,0,0,0.06494140625,,
0.35149524999988496,1100,,,,-0.0021484375,0.0021484375,-1.0015625,0.006910666442245006,0.42225202886285523,25.103251853512287,0.21449733367519058,152.99556223032,0,5.384580578161645,1.057072371802354,19.63305919078806,0.3994903449572814,0.07842425995428615,0.11962890625,,
4.2113467499998745,1200,,,,-0.0046875,0.00302734375,-1.00107421875,0.016386854878384333,0.957386848065508,25.09549966651597,0.36711187689570085,228.28906616159998,0,9.212855897415736,3.7403096955788087,40.60140084232428,0.2565405610734638,0.10392378160857743,0.22060546875,,
8.111619249999896,1300,,,,0.0009765625,0.00205078125,-0.9955078125,0.03360047697514428,1.902603425793876,25.079065947258577,0.717552276653416,316.2536604624,0,17.995540979635592,10.626503494806759,59.05142807234823,0.17904432609401225,0.10572740277054349,0.22802734375,,
12.027976749999855,1400,,,,-0.0126953125,0.00400390625,-1.00439453125,0.055065302439085126,3.153931659616804,25.052870014069093,1.2912881625787982,398.35394847647996,0,32.350475545892486,21.93711356153539,67.81233061262806,0.14377353229529022,0.09749398167977445,0.4505859375,,
15.874067499999853,1500,,,,0.00732421875,0.010546875,-1.00146484375,0.08314107420721417,4.729580163355614,25.01330175696011,2.1631768819331474,478.98815991887994,0,54.1081941696818,39.82204514805504,73.5980701378993,0.11876858709216576,0.08741104840100115,0.553515625,,
19.763068249999886,1500,,,,-0.01025390625,0.010546875,-0.9958984375,0.0833839843866998,4.724181657789308,25.003373126048412,2.16282937005131,478.77872040863997,0,54.07802763918725,39.92507337798634,73.82972113331172,0.11832680642363444,0.08736015077123505,0.55595703125,,
23.687184499999855,1400,,,,-0.0181640625,0.002734375,-1.00869140625,0.056433408018163565,3.136161391626749,25.030402759949187,1.2781405393738996,399.29642627256,0,31.992371895791166,22.536020848674205,70.44186853659855,0.13917246707780334,0.09802933881686417,0.45439453125,,
27.570797749999848,1300,,,,-0.005859375,0.0103515625,-1.0060546875,0.0359203817248385,1.9366852358737343,25.05147368964121,0.7276344727865948,315.93950119704,0,18.228314903489768,11.348778300692569,62.26540438384377,0.17065753746003479,0.10625720402739981,0.3220703125,,
31.426566999999956,1200,,,,-0.00810546875,0.00537109375,-1.0048828125,0.018412362713518187,0.9553471514060328,25.06595397443406,0.3742678670720226,228.49850567183998,0,9.381380317521124,4.206939624777299,44.8501046701649,0.22723273181703377,0.10187859957355376,0.24873046875,,
35.332112249999845,1100,,,,-0.00283203125,0.0029296875,-1.001953125,0.008676739933603145,0.42496836222358503,25.074651200530887,0.21009199615945495,152.78612272008,0,5.267984180417968,1.3258104211453106,25.17060649606997,0.3205620738450056,0.0806897047743548,0.143359375,,
39.23869499999988,1000,,,,0,0.02490234375,-1.034375,0.00015749561705542199,0.021903996271441354,25.082892633061178,0.06605380866756971,0,0,1.65682012468385,0,0,0,0,0.076171875,,
43.13874774999986,1000,,,,0,0.02490234375,-1.03828125,0.0006790514272084888,0.020985727109052874,25.085362657464636,0.06583338253638123,0,0,1.651454566886527,0,0,0,0,0.064453125,,
47.054482999999856,1100,,,,-0.0033203125,0.00712890625,-1.00517578125,0.008605492406012456,0.42074385308663426,25.080497908170663,0.2121570243143831,152.47196345472,0,5.321003782907273,1.3122233339205738,24.672140718575815,0.3206381285913049,0.07911246817046508,0.128515625,,
50.93226699999987,1200,,,,-0.00625,0.0041015625,-1.0078125,0.01821589208267358,0.9537289883588232,25.074669824126392,0.36863073668921925,228.07962665135997,0,9.243294218170082,4.154164130030454,44.943256146060854,0.22966118702486032,0.10318838433454415,0.22587890625,,
54.80944374999986,1300,,,,-0.01181640625,0.0111328125,-1.00458984375,0.03531225839681311,1.8999533346750352,25.05954292835665,0.7227777617548343,317.8244567892,0,18.11247955273831,11.222360480433977,61.95607686225984,0.16937496525897314,0.10490005541409836,0.23720703125,,
58.71269374999988,1400,,,,-0.0091796875,-0.0009765625,-0.99609375,0.0567478492087498,3.1535863504806265,25.034704827998237,1.2894159778673533,399.92474480327996,0,32.2801444127056,22.696168725163396,70.31151290312872,0.13897818986789168,0.09769849050157563,0.4517578125,,
62.58888074999989,1500,,,,-0.01220703125,0.0171875,-1.01123046875,0.08261181094529785,4.69891054176308,24.99505073471661,2.156640731393549,478.98815991887994,0,53.905341625827745,39.56898462659133,73.40560601700722,0.11875330001215906,0.08717128348821251,0.554296875,,
